WE Potential	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	Index
-0.144195556640625	-6.30938720703125e-05	-0.0003575247192382812	-0.00046461090087890626	-0.0005373648071289064	-0.0005831411743164063	-0.0006115225219726563	-0.0006368521118164062	-0.0006572988891601563	-0.0006783560180664063	-0.0006957510375976562	52
-0.146636962890625	-6.16119384765625e-05	-0.00035131164550781244	-0.0004621820068359375	-0.0005388726806640625	-0.0005873956298828124	-0.0006179132080078125	-0.0006453790283203124	-0.0006676568603515623	-0.0006902398681640624	-0.0007106866455078123	53
-0.149078369140625	-6.034149169921875e-05	-0.0003475299072265625	-0.0004606585693359375	-0.0005400653076171874	-0.0005907244873046874	-0.0006236834716796874	-0.0006526751708984375	-0.0006764788818359376	-0.0007008929443359374	-0.0007213397216796875	54
-0.151519775390625	-5.92181396484375e-05	-0.0003457107543945313	-0.0004601211547851562	-0.0005415725708007812	-0.0005940628051757812	-0.0006285476684570313	-0.0006590652465820313	-0.0006847000122070313	-0.0007106399536132811	-0.0007320022583007814	55
-0.153961181640625	-5.824462890625e-05	-0.00034516967773437496	-0.000460404052734375	-0.0005433813476562499	-0.00059709228515625	-0.0006331030273437501	-0.0006651464843750001	-0.000692001953125	-0.0007194677734375	-0.0007426611328124998	56
-0.156402587890625	-5.7370605468750015e-05	-0.00034539398193359367	-0.00046154388427734365	-0.0005454977416992187	-0.0006010397338867186	-0.0006376608276367189	-0.0006712301635742187	-0.0006990011596679688	-0.0007276876831054686	-0.0007527120971679687	57
-0.158843994140625	-5.6591796875e-05	-0.0003460208129882813	-0.0004632388305664063	-0.0005479251098632812	-0.0006052981567382812	-0.0006422244262695311	-0.0006767092895507812	-0.0007053958129882812	-0.0007356082153320311	-0.0007618533325195311	58
-0.161285400390625	-5.5846557617187485e-05	-0.0003468777465820313	-0.00046491973876953117	-0.0005503384399414064	-0.0006083218383789064	-0.0006467739868164064	-0.0006821743774414065	-0.0007126919555664063	-0.0007429043579101563	-0.0007706753540039064	59
-0.163726806640625	-5.514801025390625e-05	-0.000347803955078125	-0.000466700439453125	-0.000553370361328125	-0.000612269287109375	-0.000651026611328125	-0.0006873425292968751	-0.0007184704589843752	-0.000750208740234375	-0.000779200439453125	60
-0.166168212890625	-5.4550781249999986e-05	-0.0003487930297851563	-0.00046854400634765633	-0.0005567092895507812	-0.0006162185668945312	-0.0006555862426757812	-0.0006931228637695312	-0.0007245559692382812	-0.0007575149536132813	-0.0007865066528320311	61
-0.168609619140625	-5.39788818359375e-05	-0.000349781494140625	-0.0004705395507812499	-0.000559437255859375	-0.000619862060546875	-0.000660145263671875	-0.0006973767089843749	-0.000730030517578125	-0.000763599853515625	-0.000793812255859375	62
-0.171051025390625	-5.34429931640625e-05	-0.0003508026123046874	-0.0004726593017578126	-0.0005621673583984374	-0.0006232025146484375	-0.0006650115966796876	-0.0007025482177734375	-0.0007361175537109375	-0.0007696868896484376	-0.0008008148193359376	63
