
Index;Column 2 (V);Column 3 (V);Column 4 (V);Column 5 (V);Column 6 (V/s);Column 7 (V);Time (s);Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Column 13;Column 14;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s);Y' (Mho);-Y'' (Mho)
1;0;0.01;-1;-0.01;0.01;-0.00244;4455.66632675052;-0.0146484375;1.18133544921875E-06;-0.0143707275390625;3;3;3;100000;32.1182464530396;2.86510607445362;32.2457840350651;5.0975734896952;3832.41602032408;0.0308891490484675;0.00275546452085625
2;;;;;;;4455.91046774991;-0.01708984375;1.09619140625E-06;-0.016827392578125;3;;;100000;32.1083218976148;2.86714575376929;32.2360800944253;5.10275176289525;3840.78932730294;0.0308981982917701;0.00275908651700516
3;;;;;;;4456.15460874929;-0.01953125;9.9395751953125E-07;-0.0192596435546875;3;;;79433;31.3002213430593;2.20632852567276;31.377886188966;4.03206616528161;3834.35686331918;0.0317906964193448;0.00224090173651621
4;;;;;;;4456.39874974868;-0.02197265625;9.1827392578125E-07;-0.021697998046875;3;;;63096;30.812206487336;1.81814371565337;30.865801709805;3.37695093426109;3836.50682531375;0.0323420598119345;0.00190841616041105
5;;;;;;;4456.64289074806;-0.0244140625;8.5784912109375E-07;-0.024151611328125;3;;;50119;30.4991363757811;1.59326925339951;30.540724067748;2.99040265246458;3838.68934830824;0.0326985792831978;0.00170816774481309
6;;;;;;;4456.88703174744;-0.02685546875;7.60498046875E-07;-0.0265899658203125;3;;;31623;30.2779471452181;1.42669325756929;30.3115413164659;2.69777486846995;3846.1901092893;0.0329541705979214;0.00155279658740893
7;;;;;;;4457.13117274683;-0.029296875;6.84814453125E-07;-0.0290435791015625;3;;;25119;30.2863121924226;1.44129920077075;30.3205878835327;2.72460062692434;3848.00774428471;0.0329436078551304;0.00156775758535514
8;;;;;;;4457.37531374621;-0.03173828125;6.268310546875E-07;-0.0315032958984375;3;;;19953;30.3291957793839;1.50094332586339;30.3663127081911;2.83316497259384;3850.0322202796;0.0328909770347395;0.00162772177740947
9;;;;;;;4457.61945474559;-0.0341796875;5.5999755859375E-07;-0.0339263916015625;3;;;15849;30.4454772431095;1.6083022641286;30.4879274588074;3.0238763878538;3852.06993127446;0.0327541988504315;0.00173026199426024
10;;;;;;;4457.86359574498;-0.03662109375;5.0323486328125E-07;-0.0363433837890625;3;;;12589;30.5663711469308;1.75073220870113;30.6164679275469;3.27811535399853;3854.12617326927;0.0326087167617189;0.00186771044703768
11;;;;;;;4458.10773674436;-0.0390625;4.3304443359375E-07;-0.0389434814453125;3;;;10000;30.7142846978552;1.93262767694421;30.7750277699078;3.60046206056566;3857.82750725992;0.0324297423704983;0.00204056901464393
12;;;;;;;4458.35187774374;-0.04150390625;3.753662109375E-07;-0.0412109375;3;;;7943.3;30.9106010227019;2.1595783622451;30.9859489815519;3.99649266493884;3859.82605925488;0.0321942154844276;0.00224925846956399
13;;;;;;;4458.59601874313;-0.0439453125;3.082275390625E-07;-0.0436492919921875;3;;;6309.6;31.130913488397;2.42403648599861;31.2251457563854;4.45240328511098;3862.0334542493;0.0319288234877197;0.00248616646338016
14;;;;;;;4458.84015974251;-0.04638671875;2.5787353515625E-07;-0.0460601806640625;3;;;5011.9;31.3583792916918;2.73513818377258;31.4774352939679;4.98483270723699;3864.10774324407;0.031648631017148;0.00276045449778921
15;;;;;;;4459.08430074189;-0.048828125;2.069091796875E-07;-0.0484893798828125;3;;;3981.1;31.628187608426;3.0960900236666;31.7793647643945;5.59088326847649;3866.2717902386;0.0313172689843901;0.00306565413331564
16;;;;;;;4459.32844174128;-0.05126953125;1.5777587890625E-07;-0.0511474609375;3;;;3162.3;31.9179219888753;3.52253772147022;32.1117115097765;6.29781209652605;3868.30450923347;0.0309533531015741;0.00341608560683508
17;;;;;;;4459.57258274066;-0.0537109375;1.177978515625E-07;-0.05352783203125;3;;;2511.9;32.2256622195411;4.02068962369702;32.4755177100852;7.11185467687412;3870.33395322835;0.0305555203759891;0.00381231153251229
18;;;;;;;4459.81672374004;-0.05615234375;6.591796875E-08;-0.055999755859375;3;;;1995.3;32.5989912447241;4.62033802191116;32.9247893480022;8.06694646845019;3872.36537722322;0.0300717118470351;0.00426214027875171
19;;;;;;;4460.06086473943;-0.05859375;2.105712890625E-08;-0.05841064453125;3;;;1584.9;32.9658938898374;5.32892057640437;33.3938250948532;9.18240400244053;3874.38169621813;0.0295619120158802;0.00477866857624762
20;;;;;;;4460.30500573881;-0.06103515625;-2.3193359375E-08;-0.060791015625;3;;;1258.9;33.3710780081273;6.18448945780886;33.9393099116388;10.4992127546993;3876.414079213;0.0289710490269626;0.00536905482182139
21;;;;;;;4460.5491467382;-0.0634765625;-6.134033203125E-08;-0.06317138671875;3;;;1000;33.8432235883294;7.22570499142799;34.6059907454302;12.0519946445715;3878.45932020783;0.0282598042044873;0.00603361579207123
22;;;;;;;4460.79328773758;-0.06591796875;-1.01318359375E-07;-0.065673828125;3;;;794.33;34.3721207944353;8.4916119531005;35.4055103263502;13.8770211446418;3880.47758720274;0.0274198208025019;0.00677405038434797
23;;;;;;;4461.03742873696;-0.068359375;-1.416015625E-07;-0.067962646484375;3;;;630.96;34.9902774711254;10.0335389324972;36.4004316048077;16.0003605956396;3882.50707619761;0.0264079275655139;0.007572531243109
24;;;;;;;4461.28156973635;-0.07080078125;-1.922607421875E-07;-0.07061767578125;3;;;501.19;35.6942601614152;11.8963327849554;37.6244992285771;18.4324149386175;3884.63932519223;0.0252148813041546;0.00840372143226625
25;;;;;;;4461.52571073573;-0.0732421875;-2.33154296875E-07;-0.072906494140625;3;;;398.11;36.529488358986;14.1477497444367;39.1734903040373;21.1712205355859;3886.66760918711;0.0238044993969305;0.00921940370337875
26;;;;;;;4461.76985173511;-0.07568359375;-2.8900146484375E-07;-0.07525634765625;3;;;316.23;37.5613066964982;16.8736949801127;41.1773401645891;24.191083418019;3888.99228118124;0.0221525697197915;0.00995161610052002
27;;;;;;;4462.0139927345;-0.078125;-3.30810546875E-07;-0.07781982421875;3;;;251.19;38.766224515153;20.1206144128092;43.6767591232247;27.4304115931835;3891.05528617603;0.0203213565278682;0.0105472788272852
28;;;;;;;4462.25813373388;-0.08056640625;-3.96728515625E-07;-0.080291748046875;3;;;199.53;40.1964604624022;24.0250912523344;46.8290555466204;30.8664110326017;3893.0081341711;0.0183297699616927;0.010955551580863
29;;;;;;;4462.50227473327;-0.0830078125;-4.1412353515625E-07;-0.0826416015625;3;;;158.49;41.9193388740082;28.6823478051211;50.7927952297161;34.3809916475654;3894.94654216621;0.0162483848673312;0.0111175853091811
30;;;;;;;4462.74641573265;-0.08544921875;-4.718017578125E-07;-0.085113525390625;3;;;125.89;43.9420098186058;34.2293252252102;55.70051105934;37.9173731922852;3896.95613816113;0.0141632055140039;0.0110326534851635
31;;;;;;;4462.99055673203;-0.087890625;-5.3070068359375E-07;-0.0875244140625;3;;;100;46.3471545400426;40.8463673974421;61.777701992915;41.3901589286042;3898.84536615636;0.0121439390053825;0.0107026159251572
32;;;;;;;4463.23469773142;-0.09033203125;-5.938720703125E-07;-0.0899658203125;3;;;79.433;49.1832833584958;48.7858723507206;69.2752243081384;44.7675814554107;3900.89428915119;0.010248531410003;0.0101657211761645
33;;;;;;;4463.4788387308;-0.0927734375;-6.353759765625E-07;-0.092376708984375;3;;;63.096;52.5030941406715;58.2761944649554;78.4390829603554;47.9831869588971;3902.9895781459;0.00853335636873725;0.00947166149581405
34;;;;;;;4463.72297973018;-0.09521484375;-6.982421875E-07;-0.094757080078125;3;;;50.119;56.3548728053211;69.6403745664622;89.5860115121835;51.0192801920256;3905.02206514077;0.00702184228307346;0.00867722172719881
