
Index;Column 2 (V);Column 3 (V);Column 4 (V);Column 5 (V);Column 6 (V/s);Column 7 (V);Time (s);Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Column 13;Column 14;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s);Y' (Mho);-Y'' (Mho)
1;0;0.01;-1;-0.01;0.01;-0.00244;854.430074842771;-0.0146484375;1.138916015625E-06;-0.0144134521484375;3;3;3;100000;36.3783676349675;2.50122568591126;36.4642532038806;3.93323002853755;236.787367402169;0.0273595254619553;0.00188112750210395
2;;;;;;;854.674215842155;-0.01708984375;1.1090087890625E-06;-0.0168548583984375;3;;;79433;35.8338285167132;2.09375775208153;35.8949451551275;3.34396984866842;238.653421397458;0.0278116415172073;0.00162502424204005
3;;;;;;;854.918356841539;-0.01953125;1.0809326171875E-06;-0.0193206787109375;3;;;63096;35.5004997072913;1.88193467443128;35.5503467998024;3.03449470500358;240.520892392743;0.0280896794266501;0.00148907598886037
4;;;;;;;855.162497840922;-0.02197265625;1.04766845703125E-06;-0.0217864990234375;3;;;50119;35.3485385182927;1.7824066984385;35.3934478260859;2.88662459387865;242.409533387975;0.0282179669395541;0.00142285637250178
5;;;;;;;855.406638840306;-0.0244140625;1.0186767578125E-06;-0.0241241455078125;3;;;39811;35.3145123765792;1.76617310014154;35.358650310995;2.86312942802204;244.283928383242;0.0282463187598144;0.00141267385599507
6;;;;;;;855.650779839689;-0.02685546875;9.9609375E-07;-0.026593017578125;3;;;31623;35.3551229237251;1.80194715276481;35.4010131280599;2.91767360224538;246.061569378754;0.0282111616419216;0.00143784035220354
7;;;;;;;855.894920839073;-0.029296875;9.698486328125E-07;-0.0290191650390625;3;;;25119;35.4555224094391;1.88644712825188;35.5056721115645;3.04560846780808;248.078833373661;0.0281247332784924;0.00149640503708774
8;;;;;;;856.139061838457;-0.03173828125;9.4146728515625E-07;-0.031475830078125;3;;;19953;35.6015048065996;2.01331062010632;35.6583870098939;3.2367021572784;250.068176368639;0.0279991577096298;0.00158338817072641
9;;;;;;;856.38320283784;-0.0341796875;9.1552734375E-07;-0.033917236328125;3;;;15849;35.7873285878591;2.17732359682428;35.8535022766352;3.48161968748968;252.092272363528;0.0278397999600498;0.00169379095271303
10;;;;;;;856.627343837224;-0.03662109375;8.9263916015625E-07;-0.0363739013671875;3;;;12589;36.0236183971761;2.38200887665293;36.1022859208918;3.78309208105419;254.132680358377;0.0276387202844833;0.00182756979965476
11;;;;;;;856.871484836607;-0.0390625;8.72802734375E-07;-0.03880615234375;3;;;10000;36.2462537246901;2.62674711566753;36.341308582442;4.14494922958778;257.833430349033;0.0274449221641334;0.0019889192047798
12;;;;;;;857.115625835991;-0.04150390625;8.50830078125E-07;-0.0412109375;3;;;7943.3;36.497615064109;2.92193767932795;36.6143909572419;4.57724138076816;259.740222344219;0.0272245592457614;0.00217955242619436
13;;;;;;;857.359766835375;-0.0439453125;8.28857421875E-07;-0.0436431884765625;3;;;6309.6;36.7959589124248;3.26757280570855;36.9407583073961;5.07469638768351;261.909593338742;0.0269642604111115;0.00239449348921956
14;;;;;;;857.603907834758;-0.04638671875;8.0535888671875E-07;-0.04610595703125;3;;;5011.9;37.0856027838796;3.6827401634523;37.2680091895879;5.67109433245236;264.092040333232;0.026701333709239;0.00265154309724476
15;;;;;;;857.848048834142;-0.048828125;7.8521728515625E-07;-0.048541259765625;3;;;3981.1;37.4241923150729;4.17768674249274;37.6566493059853;6.36959417631447;266.133016328079;0.0263918046896491;0.00294613419133157
16;;;;;;;858.092189833525;-0.05126953125;7.647705078125E-07;-0.05120849609375;3;;;3162.3;37.769979774211;4.7742215071659;38.0705209203104;7.20412615446166;268.185449322897;0.0260596821080576;0.00329401009833594
17;;;;;;;858.336330832909;-0.0537109375;7.43408203125E-07;-0.0535888671875;3;;;2511.9;38.1324152833078;5.49594331550372;38.5264388214882;8.20144007972913;270.239518317711;0.0256907379975268;0.00370275102478684
18;;;;;;;858.580471832293;-0.05615234375;7.2509765625E-07;-0.05609130859375;3;;;1995.3;38.5373543308021;6.37665246528591;39.0613539893439;9.3954196181483;272.282878312552;0.0252573225047249;0.00417924817655543
