
Index;Column 2 (V);Column 3 (V);Column 4 (V);Column 5 (V);Column 6 (V/s);Column 7 (V);Time (s);Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Column 13 (RPM);ω (rad/s);Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s);Y' (Mho);-Y'' (Mho)
1;0;0.01;-1;-0.01;0.01;-0.00244;15867.248193939;-0.0146484375;5.706787109375E-07;-0.01446533203125;3;1600;167.551608191456;100000;31.4538853352569;2.87950208069919;31.5854149080907;5.23066451892392;15250.4043664964;0.0315283415658477;0.00288631830923891
2;;;;;;;15867.4923349384;-0.01708984375;5.0628662109375E-07;-0.0167633056640625;3;;;79433;30.5834870954731;2.1146071556855;30.6565041441754;3.95525683990582;15252.3679144915;0.0325418128335745;0.00225000995020743
3;;;;;;;15867.7364759378;-0.01953125;4.2022705078125E-07;-0.019244384765625;3;;;63096;30.0330888862339;1.63056076896337;30.0773196357273;3.10765965735393;15254.2915144866;0.0331987505503652;0.00180243132603117
4;;;;;;;15867.9806169372;-0.02197265625;3.6865234375E-07;-0.021673583984375;3;;;50119;29.662369177089;1.30959459392422;29.6912644257255;2.52796891275192;15256.2062454818;0.0336471628637786;0.00148552336882541
5;;;;;;;15868.2247579366;-0.0244140625;2.923583984375E-07;-0.024151611328125;3;;;39811;29.4620090337622;1.10217092543562;29.4826178799367;2.14243053131999;15258.1349784769;0.0338945811134089;0.00126799302078173
6;;;;;;;15868.468898936;-0.02685546875;2.203369140625E-07;-0.02664794921875;3;;;31623;29.3369062800159;0.961242219254253;29.3526499091056;1.87666092364199;15259.9256814724;0.034050201316455;0.00111567630093903
7;;;;;;;15868.7130399354;-0.029296875;1.654052734375E-07;-0.029022216796875;3;;;25119;29.2833771995789;0.871959346973578;29.2963563146613;1.70556942635263;15261.7090214679;0.0341188153557076;0.00101594224444518
8;;;;;;;15868.9571809347;-0.03173828125;1.1566162109375E-07;-0.031524658203125;3;;;19953;29.2543730707346;0.816959174652415;29.2657780702097;1.59962923400261;15263.5087324633;0.0341562863391052;0.000953850264687497
9;;;;;;;15869.2013219341;-0.0341796875;4.21142578125E-08;-0.0339019775390625;3;;;15849;29.2851898513785;0.793842788565151;29.2959473477858;1.5527543415608;15265.3253774588;0.0341218799752469;0.000924952458498755
10;;;;;;;15869.4454629335;-0.03662109375;-2.13623046875E-08;-0.0363494873046875;3;;;12589;29.3133621872928;0.795385172960039;29.3241511436695;1.55427528255171;15267.1423324542;0.0340890372103719;0.000924967753080425
