
Index;Column 2 (V);Column 3 (V);Column 4 (V);Column 5 (V);Column 6 (V/s);Column 7 (V);Time (s);Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Column 13 (RPM);ω (rad/s);Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s);Y' (Mho);-Y'' (Mho)
1;0;0.01;-1;-0.01;0.01;-0.00244;2806.43465391443;-0.0146484375;7.0465087890625E-07;-0.0144256591796875;3;1000;104.71975511966;100000;34.7026197989836;2.71071545741594;34.808329451496;4.46645880771454;2187.7361254765;0.0286415093429355;0.00223726573236676
2;;;;;;;2806.67879491382;-0.01708984375;6.6864013671875E-07;-0.016845703125;3;;;79433;34.0567072224644;2.23900604741298;34.1302278767225;3.76141029523725;2189.52367647198;0.0292364259097282;0.00192210403633632
3;;;;;;;2806.9229359132;-0.01953125;6.292724609375E-07;-0.019232177734375;3;;;63096;33.7120983301226;1.98374676243426;33.7704134567127;3.36761602815472;2191.54936346687;0.0295605853368318;0.00173945611107822
4;;;;;;;2807.16707691258;-0.02197265625;6.0760498046875E-07;-0.021697998046875;3;;;50119;33.5202703451292;1.85863757340067;33.5717598233963;3.17369614775193;2193.59187146171;0.0297412554851406;0.00164909812348288
5;;;;;;;2807.41121791197;-0.0244140625;5.7159423828125E-07;-0.0241790771484375;3;;;39811;33.4845730405524;1.81904269829867;33.5339462045003;3.10952517948457;2195.62029945659;0.0297766227710223;0.00161760904539605
6;;;;;;;2807.65535891135;-0.02685546875;5.426025390625E-07;-0.0265228271484375;3;;;31623;33.4877886831492;1.83915981852602;33.5382542736699;3.14354409050246;2197.63285945151;0.0297718323255314;0.00163507833422765
7;;;;;;;2807.89949991074;-0.029296875;5.224609375E-07;-0.02900390625;3;;;25119;33.6065143235725;1.9115410088653;33.660834719434;3.2554803158667;2199.67299344636;0.0296601748492566;0.00168707292903331
8;;;;;;;2808.14364091012;-0.03173828125;5.029296875E-07;-0.03148193359375;3;;;19953;33.7513327891174;2.02134616408868;33.8118071885669;3.42731460630146;2201.71015544122;0.0295225699060031;0.00176808820577244
9;;;;;;;2808.3877819095;-0.0341796875;4.754638671875E-07;-0.033917236328125;3;;;15849;33.9235881064857;2.16662757982516;33.9927066455167;3.65439634822145;2203.70344643618;0.0293582584060985;0.00187504966039031
10;;;;;;;2808.63192290889;-0.03662109375;4.5074462890625E-07;-0.0363525390625;3;;;12589;34.1416545220195;2.34823462225362;34.222314055921;3.93455966057138;2205.74775743102;0.0291518297173686;0.00200503861932692
11;;;;;;;2808.87606390827;-0.0390625;4.2724609375E-07;-0.0388092041015625;3;;;10000;34.3826598708129;2.56794703519053;34.4784229884075;4.27133508678623;2209.46367242164;0.0289230896872303;0.00216018663739051
12;;;;;;;2809.12020490765;-0.04150390625;4.0679931640625E-07;-0.041180419921875;3;;;7943.3;34.6617564264473;2.83761380065248;34.777714281534;4.68013029496326;2211.41218541672;0.0286581727142832;0.00234612537792469
13;;;;;;;2809.36434590704;-0.0439453125;3.7933349609375E-07;-0.043658447265625;3;;;6309.6;34.9542021463284;3.14921144710844;35.0957800942647;5.14818437118601;2213.54441541134;0.0283785102528186;0.0025567721147212
14;;;;;;;2809.60848690642;-0.04638671875;3.5369873046875E-07;-0.046044921875;3;;;5011.9;35.2680788571722;3.51863676365285;35.4431684665783;5.69744963510567;2215.74775840577;0.0280748034945221;0.00280097580898046
15;;;;;;;2809.8526279058;-0.048828125;3.4149169921875E-07;-0.0485260009765625;3;;;3981.1;35.5655633329986;3.95652519301793;35.7849603436488;6.34782361401168;2217.80379540058;0.0277733720171167;0.00308967539897861
16;;;;;;;2810.09676890519;-0.05126953125;3.22265625E-07;-0.05108642578125;3;;;3162.3;35.9402243670459;4.48496773820192;36.2189820835196;7.11314885072046;2219.85286539541;0.0273973339193338;0.00341890349615135
17;;;;;;;2810.34090990457;-0.0537109375;2.9876708984375E-07;-0.05352783203125;3;;;2511.9;36.3051065412181;5.12834622424596;36.6655246241607;8.04022797712728;2221.93222739016;0.0270054804861426;0.00381471002509859
18;;;;;;;2810.58505090395;-0.05615234375;2.7801513671875E-07;-0.055999755859375;3;;;1995.3;36.6773463954119;5.89105607876472;37.147439754742;9.12481994588002;2224.01345538491;0.0265790915381606;0.00426909071026774
19;;;;;;;2810.82919190334;-0.05859375;2.593994140625E-07;-0.058502197265625;3;;;1584.9;37.1115454707087;6.83784355794746;37.7362281070518;10.4397244595701;2226.07145337971;0.026061059245998;0.00480177917190715
20;;;;;;;2811.07333290272;-0.06103515625;2.4017333984375E-07;-0.060821533203125;3;;;1258.9;37.6007288166749;8.00803127772144;38.4440290876241;12.0229598415665;2228.09813737459;0.025441251347353;0.00541836137079409
21;;;;;;;2811.31747390211;-0.0634765625;2.3284912109375E-07;-0.063323974609375;3;;;1000;38.1006971930848;9.43249686076491;39.2509251308486;13.9049984995132;2230.13877836944;0.0247305131557532;0.00612247294385693
22;;;;;;;2811.56161490149;-0.06591796875;2.166748046875E-07;-0.065704345703125;3;;;794.33;38.7019336122365;11.1921112637412;40.2877527279188;16.1292025562563;2232.1740243643;0.0238444098363106;0.0068955027048534
23;;;;;;;2811.80575590087;-0.068359375;1.983642578125E-07;-0.068145751953125;3;;;630.96;39.3836776596277;13.3455436789823;41.5833813209686;18.7194517827183;2234.20063035919;0.022775958705536;0.00771785596973378
24;;;;;;;2812.04989690026;-0.07080078125;1.8524169921875E-07;-0.07049560546875;3;;;501.19;40.2007742389099;15.9833785383282;43.261653215143;21.6822155295347;2236.23209235406;0.021479699137822;0.00854008831195387
